station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-08-16,00:00 - 00:30,00:00 - 00:30,20.3,20.7,20.0,68.0,0.0
Fornells de la Selva,2026-08-16,00:30 - 01:00,00:30 - 01:00,19.9,20.3,19.6,71.0,0.0
Fornells de la Selva,2026-08-16,01:00 - 01:30,01:00 - 01:30,19.4,19.6,19.3,73.0,0.0
Fornells de la Selva,2026-08-16,01:30 - 02:00,01:30 - 02:00,19.1,19.3,18.9,75.0,0.0
Fornells de la Selva,2026-08-16,02:00 - 02:30,02:00 - 02:30,18.8,19.0,18.7,76.0,0.0
Fornells de la Selva,2026-08-16,02:30 - 03:00,02:30 - 03:00,18.9,19.1,18.7,76.0,0.0
Fornells de la Selva,2026-08-16,03:00 - 03:30,03:00 - 03:30,19.0,19.2,18.9,78.0,0.0
Fornells de la Selva,2026-08-16,03:30 - 04:00,03:30 - 04:00,18.7,19.0,18.4,77.0,0.0
Fornells de la Selva,2026-08-16,04:00 - 04:30,04:00 - 04:30,18.2,18.4,18.1,80.0,0.0
Fornells de la Selva,2026-08-16,04:30 - 05:00,04:30 - 05:00,18.5,18.7,18.4,79.0,0.0
Fornells de la Selva,2026-08-16,05:00 - 05:30,05:00 - 05:30,18.4,18.5,18.3,79.0,0.0
Fornells de la Selva,2026-08-16,05:30 - 06:00,05:30 - 06:00,19.2,20.5,18.5,77.0,0.0
Fornells de la Selva,2026-08-16,06:00 - 06:30,06:00 - 06:30,22.0,22.6,20.7,63.0,0.0
Fornells de la Selva,2026-08-16,06:30 - 07:00,06:30 - 07:00,22.7,22.9,22.5,64.0,0.0
Fornells de la Selva,2026-08-16,07:00 - 07:30,07:00 - 07:30,23.2,23.7,22.9,63.0,0.0
Fornells de la Selva,2026-08-16,07:30 - 08:00,07:30 - 08:00,25.1,26.5,23.8,56.0,0.0
Fornells de la Selva,2026-08-16,08:00 - 08:30,08:00 - 08:30,28.1,29.3,26.7,46.0,0.0
Fornells de la Selva,2026-08-16,08:30 - 09:00,08:30 - 09:00,30.4,31.7,29.3,41.0,0.0
Fornells de la Selva,2026-08-16,09:00 - 09:30,09:00 - 09:30,31.3,31.8,30.9,42.0,0.0
Fornells de la Selva,2026-08-16,09:30 - 10:00,09:30 - 10:00,32.0,33.3,31.1,42.0,0.0
Fornells de la Selva,2026-08-16,10:00 - 10:30,10:00 - 10:30,33.5,34.2,33.1,39.0,0.0
Fornells de la Selva,2026-08-16,10:30 - 11:00,10:30 - 11:00,33.9,34.8,33.1,41.0,0.0
Fornells de la Selva,2026-08-16,11:00 - 11:30,11:00 - 11:30,33.9,34.5,33.1,43.0,0.0
Fornells de la Selva,2026-08-16,11:30 - 12:00,11:30 - 12:00,33.8,34.4,32.7,42.0,0.0
Fornells de la Selva,2026-08-16,12:00 - 12:30,12:00 - 12:30,34.0,34.7,33.2,40.0,0.0
Fornells de la Selva,2026-08-16,12:30 - 13:00,12:30 - 13:00,34.2,34.9,32.9,38.0,0.0
Fornells de la Selva,2026-08-16,13:00 - 13:30,13:00 - 13:30,32.9,33.7,32.1,40.0,0.0
Fornells de la Selva,2026-08-16,13:30 - 14:00,13:30 - 14:00,30.6,34.1,23.8,46.0,0.0
Fornells de la Selva,2026-08-16,14:00 - 14:30,14:00 - 14:30,20.6,23.4,19.5,84.0,2.0
Fornells de la Selva,2026-08-16,14:30 - 15:00,14:30 - 15:00,19.8,19.9,19.6,92.0,0.9
